6
Rengar,Mordekaiser,Taric,Trundle,Galio,Soraka,Fiora,Tristana,Brand,Tryndamere
Fiora,Varus,Fizz,Cho’Gath,Vayne,Orianna,Diana,Sivir,Jarvan,Leona
Taric,Karma,Thresh,Morgana,Talon,Hecarim,Gragas,Cho’Gath,Pantheon,Mordekaiser
Riven,Rengar,Vayne,Diana,Soraka,Rammus,Janna,Galio,Jax,Singed
Karma,Trundle,Janna,Alistar,Karthus,Vi,Brand,Maokai,Jayce,Mordekaiser
Garen,Mordekaiser,Swain,Shaco,Shyvana,Evelynn,Olaf,Karthus,Teemo,Fiora
Annie,Cho'Gath,Brand,Soraka,Rammus,Singed,Poppy,Thresh,Kog'Maw,Blitzcrank,1
Darius,Tryndamere,Sona,Kayle,Mordekaiser,Karthus,Evelynn,Master,Jayce,Fiddlesticks,2
Brand,Thresh,Orianna,Kassadin,Taric,Nunu,Vi,Evelynn,Morgana,Garen,2
Janna,Kayle,Akali,Shen,LeBlanc,Poppy,Udyr,Corki,Veigar,Thresh,2
Soraka,Trundle,Renekton,Kha'Zix,Thresh,Poppy,Fiora,Twisted,Singed,Corki,1
Heimerdinger,Akali,Lulu,Nunu,Draven,Soraka,Master,Shyvana,Amumu,Morgana,1
Alistar,Kayle,Trundle,Fiora,Morgana,Kha'Zix,Garen,Sona,Elise,Leona,1
Karthus,Gragas,Alistar,Heimerdinger,Singed,Kassadin,Trundle,Elise,Ashe,Evelynn,2
Morgana,Diana,Heimerdinger,Poppy,Kha'Zix,Vi,Draven,Sona,Malphite,Tristana,1
Twisted,Amumu,Soraka,Cho'Gath,Janna,Orianna,Sona,Fiora,Swain,Evelynn,1
Garen,Shaco,Sona,Soraka,Cho'Gath,Jax,Kennen,Thresh,Vayne,Orianna,2
Jax,Akali,Draven,Mordekaiser,Kayle,Tristana,Corki,Brand,Sona,Trundle,1
Alistar,Diana,Taric,Corki,Janna,Galio,Annie,Swain,Katarina,Nidalee,1
Darius,Fiora,Alistar,Orianna,Master,Swain,Kha'Zix,Syndra,Trundle,Cho'Gath,1
Skarner,Teemo,Cho'Gath,Graves,Fiora,Master,Kayle,Nami,Twitch,Swain,2
Renekton,Kayle,Tryndamere,Rammus,Evelynn,Trundle,Jarvan,Kennen,Fiora,Malzahar,1
Draven,Fiora,Diana,Olaf,Fizz,Karthus,Soraka,Evelynn,Graves,Alistar,1
Irelia,Hecarim,Shyvana,Draven,Mordekaiser,Fiora,Sona,Graves,Alistar,Corki,2
Pantheon,Jax,Cho'Gath,Poppy,Vi,Nami,Fiddlesticks,Nocturne,Katarina,Thresh,2
Shyvana,Cho'Gath,Pantheon,Fiora,Morgana,Diana,Veigar,Thresh,Draven,Orianna,2
Elise,Poppy,Garen,Soraka,Brand,Urgot,Karma,Amumu,Malphite,Shyvana,1
Hecarim,Mordekaiser,Fiora,Urgot,Miss,Akali,Janna,Kha'Zix,Renekton,Thresh,1
Miss,Sona,Shyvana,Orianna,Kha'Zix,Riven,Ashe,Nunu,Diana,Malphite,2
Ashe,Singed,Master,Alistar,Diana,Darius,Rammus,Soraka,Vayne,Kassadin,2
Thresh,Varus,Twitch,Ezreal,Pantheon,Kha'Zix,Fiora,Cho'Gath,Gragas,Anivia,2
Diana,Nasus,Morgana,Lee,Fiora,Jayce,Jax,Karma,Taric,Twitch,1
Anivia,Morgana,Shyvana,Fizz,Trundle,Diana,Ashe,Leona,Fiddlesticks,Shen,1
Cassiopeia,Rumble,Maokai,Caitlyn,Shyvana,Cho'Gath,Kassadin,Mordekaiser,Anivia,Heimerdinger,2
Nasus,Elise,Lux,Amumu,Corki,Urgot,Singed,Shyvana,Skarner,Sejuani,2
Akali,Jayce,Sona,Urgot,Fiddlesticks,Brand,Gragas,Rumble,Shen,Galio,2
Veigar,Irelia,Swain,Riven,Trundle,Pantheon,Nidalee,Darius,Diana,Sona,2
Soraka,Lee,Thresh,Skarner,Brand,Sion,Darius,Fiora,Nasus,Garen,2
Urgot,Kennen,Skarner,Viktor,Jax,Draven,Riven,Kayle,Evelynn,Tryndamere,2
Sejuani,Teemo,Cho'Gath,Miss,Sivir,Heimerdinger,Poppy,Lux,Karma,Kayle,1
Diana,Malphite,Amumu,Draven,Ashe,Morgana,Irelia,Singed,Anivia,Elise,1
Anivia,Nasus,Diana,Sona,Evelynn,Veigar,Vi,Annie,Malphite,Shaco,2
Sejuani,Irelia,Rengar,Shyvana,Nami,Brand,Jayce,Lux,Kayle,Vi,1
Kennen,Draven,Jayce,Ezreal,Skarner,Teemo,Kassadin,Talon,Soraka,Nasus,1
Sivir,Teemo,Twisted,Skarner,Orianna,Shyvana,Shaco,Veigar,Janna,Vayne,1
Fiora,Rumble,Thresh,Corki,Soraka,Trundle,Brand,Sejuani,Kennen,Diana,2
Tristana,Rammus,Riven,Diana,Swain,Singed,Udyr,Alistar,LeBlanc,Viktor,1
Elise,Renekton,Trundle,Malphite,Cassiopeia,Leona,Twisted,Hecarim,Cho'Gath,Janna,2
Hecarim,Amumu,Teemo,Kassadin,Anivia,Orianna,Trundle,Rumble,Syndra,Akali,1
Garen,Karma,Cho'Gath,Miss,Draven,Corki,Darius,Kennen,Nidalee,Singed,1
Singed,Lee,Master,Alistar,Galio,Annie,Kog'Maw,Diana,Rammus,Nami,1
Lulu,Tristana,Nami,Riven,Evelynn,Shen,Morgana,Thresh,Akali,Orianna,1
Diana,Alistar,Fiora,Orianna,Morgana,Malphite,Thresh,Trundle,Shen,Kassadin,1
Kayle,Swain,Thresh,Vi,Nidalee,Fiora,Vayne,Cho'Gath,Skarner,Kennen,2
Tristana,Dr.Mundo,Malzahar,Singed,Poppy,Orianna,Nami,Taric,Galio,Elise,1
Varus,Shyvana,Brand,Fiora,Trundle,Jayce,Vi,Poppy,Akali,Nidalee,1
Kha'Zix,Kayle,Orianna,Nami,Tristana,Mordekaiser,Talon,Garen,Twitch,Swain,2
Gragas,Malphite,Master,Thresh,Shyvana,Nami,Vi,Diana,Irelia,Evelynn,1
Sona,Galio,Sivir,Nami,Akali,Poppy,Syndra,Diana,Lee,Ryze,1
Fiora,Varus,Brand,Anivia,Shyvana,Alistar,Tristana,Lee,Jayce,Karthus,1
Master,Nocturne,Poppy,Pantheon,Jayce,Shen,Shaco,Anivia,Heimerdinger,Garen,1
Nami,Rammus,Gragas,Ashe,Diana,Kassadin,Maokai,Trundle,Sejuani,Fiora,2
Nautilus,Diana,Anivia,Varus,Malzahar,Karma,Annie,Nocturne,Vi,Nami,1
Varus,Gragas,Sejuani,Cho'Gath,Veigar,Mordekaiser,Ashe,Ezreal,Darius,Poppy,1
Veigar,Kayle,Caitlyn,Trundle,Nautilus,Morgana,Miss,Fiddlesticks,Maokai,Ryze,1
Ryze,Irelia,Viktor,Miss,Maokai,Karthus,Vayne,Sion,Rengar,Alistar,2
Karthus,Morgana,Skarner,Fizz,Trundle,Ashe,Heimerdinger,Fiora,Diana,Rammus,1
Urgot,Jarvan,Shyvana,Heimerdinger,Graves,Vi,Soraka,Kayle,Karma,Gragas,2
Nautilus,Poppy,Galio,Sejuani,Kog'Maw,Mordekaiser,Rengar,Gragas,Caitlyn,Nocturne,1
Shyvana,Thresh,Galio,Skarner,Kennen,Elise,Trundle,Garen,Caitlyn,Irelia,1
Mordekaiser,Katarina,Cassiopeia,Kassadin,Trundle,Orianna,Irelia,Thresh,Morgana,Draven,2
Cho'Gath,Annie,Hecarim,Blitzcrank,Riven,Tristana,Kha'Zix,Olaf,Sona,Poppy,1
Swain,Tristana,Lulu,Ryze,Nocturne,Pantheon,Malphite,Gragas,Galio,LeBlanc,2
Alistar,Vi,Malphite,Shyvana,Janna,Orianna,Elise,Thresh,Trundle,Varus,1
Draven,Nami,Ezreal,Cho'Gath,Twitch,Tristana,Mordekaiser,Karthus,Swain,Graves,1
Malzahar,Tristana,Singed,Graves,Rengar,Miss,Talon,Skarner,Darius,Morgana,2
Caitlyn,Corki,Alistar,Skarner,Riven,Swain,Miss,Malphite,Fiddlesticks,Katarina,2
Pantheon,Ryze,Nidalee,Nasus,Skarner,Gragas,Malphite,Tryndamere,Lulu,Fiora,2
Katarina,Viktor,Urgot,Skarner,Mordekaiser,Vi,Caitlyn,Evelynn,Irelia,Nidalee,1
Akali,Miss,Tryndamere,Shyvana,Mordekaiser,Nidalee,Ashe,Fizz,Nami,Sona,2
Cho'Gath,Shen,Irelia,Jarvan,Fiora,Akali,Nidalee,Fizz,Miss,Evelynn,2
Irelia,Darius,Nami,Malphite,Teemo,Swain,Twitch,Hecarim,Annie,Singed,1
Miss,Shaco,Jax,Lee,Karma,Twisted,Trundle,Rammus,Fiora,Vayne,2
Kayle,Skarner,Pantheon,Elise,Kennen,Sivir,Jayce,Taric,Karma,Fiora,2
Corki,Thresh,Leona,Cho'Gath,Draven,Heimerdinger,Elise,Ezreal,Shaco,Syndra,2
Teemo,Mordekaiser,Corki,Darius,Fiddlesticks,Blitzcrank,Alistar,Urgot,Akali,Diana,1
Blitzcrank,Jayce,Alistar,Varus,Akali,Swain,Twitch,Jax,Annie,Leona,2
Vayne,Mordekaiser,Kayle,Heimerdinger,Alistar,Ezreal,Shyvana,Poppy,Cassiopeia,Leona,1
Diana,Corki,Nami,Maokai,Soraka,Gragas,Cassiopeia,Malphite,Amumu,Heimerdinger,1
Darius,Draven,Gragas,Diana,Ashe,Maokai,Galio,Rumble,Caitlyn,Alistar,2
Master,Fizz,Malzahar,Brand,Sivir,Irelia,Elise,Garen,Malphite,Shen,1
Shaco,Viktor,Kayle,Garen,Nasus,Sona,Master,Ashe,Diana,Brand,1
Galio,Darius,Kog'Maw,Janna,Shaco,Shyvana,Rumble,Fiora,Ashe,Teemo,1
Elise,Annie,Diana,Fiora,Nunu,Sejuani,Kayle,Gragas,Akali,Fiddlesticks,2
Veigar,Annie,Blitzcrank,Brand,Elise,Heimerdinger,Draven,Taric,Kayle,Akali,1
Fiora,Malphite,Vayne,Amumu,Diana,Morgana,Swain,LeBlanc,Annie,Olaf,2
Malphite,Thresh,Lux,Draven,Skarner,Urgot,Teemo,Pantheon,Diana,Dr.Mundo,1
Gragas,Lulu,Olaf,Cho'Gath,Annie,Draven,Alistar,Shyvana,Fiora,Galio,2
Akali,Kennen,Mordekaiser,Anivia,Diana,Jarvan,Lulu,Heimerdinger,Janna,Leona,2
Sona,Malphite,Singed,Vi,Kha'Zix,Diana,Fiora,Cassiopeia,Kassadin,Lee,1
Fiora,Gragas,Garen,Thresh,Brand,Annie,Skarner,Cho'Gath,Draven,Maokai,1
Poppy,Nidalee,Shyvana,Vayne,Fiora,Lux,Master,Caitlyn,Mordekaiser,Urgot,2
Diana,Pantheon,Twisted,Morgana,Fiora,Karthus,Soraka,Shyvana,Miss,Ezreal,1
Urgot,Fizz,Lux,Lee,Caitlyn,Diana,Fiora,Mordekaiser,Kog'Maw,Karma,1
Lux,Morgana,Cassiopeia,Anivia,Draven,Trundle,Kennen,Varus,Orianna,Darius,1
Trundle,Blitzcrank,Tristana,Veigar,Swain,Kha'Zix,Kayle,Gragas,Karthus,Draven,2
Brand,Heimerdinger,Blitzcrank,Orianna,Twisted,Kennen,Lee,Viktor,Nocturne,Irelia,1
Diana,Amumu,Evelynn,Twisted,Hecarim,Cho'Gath,Janna,Ashe,Twitch,Talon,1
Jax,Fiddlesticks,Cho'Gath,Fizz,Shen,Riven,Singed,Urgot,Nasus,Rammus,1
Leona,Shyvana,Amumu,Veigar,Ryze,Draven,Malphite,Darius,Janna,Karma,2
Nidalee,Annie,Galio,Caitlyn,Ryze,Rumble,Renekton,Akali,Irelia,Thresh,1
Varus,Pantheon,Annie,Jarvan,Lulu,Gragas,Evelynn,Garen,Nasus,Diana,1
Fiora,Kayle,Kog'Maw,Elise,Nocturne,Cho'Gath,Nasus,Morgana,Vayne,Shen,1
Draven,Orianna,Trundle,Morgana,Janna,Diana,Anivia,Fiora,Elise,Malzahar,1
Riven,Lux,Hecarim,Janna,Sion,Tryndamere,Mordekaiser,Vi,Malphite,Taric,2
Mordekaiser,Galio,Heimerdinger,Malphite,Soraka,Fiora,Draven,Renekton,Pantheon,Trundle,2
Cho'Gath,Nasus,Blitzcrank,Kog'Maw,Fiddlesticks,Evelynn,Irelia,Thresh,Akali,Lux,2
Diana,Gragas,Cassiopeia,Vayne,Kassadin,Twisted,Shyvana,Thresh,Rengar,Morgana,2
Soraka,Poppy,Dr.Mundo,Udyr,Talon,Malphite,Brand,Ezreal,Rumble,Kennen,1
Kassadin,Amumu,Mordekaiser,Vi,Cassiopeia,Teemo,Shyvana,Master,Fiora,Kha'Zix,1
Sona,Swain,Trundle,Fiora,Evelynn,Nami,Karma,Singed,Rammus,Renekton,2
Morgana,Nami,Trundle,Shyvana,Kha'Zix,Shaco,Nidalee,Janna,Kayle,Orianna,1
Thresh,Kha'Zix,Viktor,Diana,Twitch,Karma,Anivia,Swain,Nautilus,Fiddlesticks,2
Poppy,Twitch,Galio,Brand,Ashe,Taric,Heimerdinger,Jarvan,Singed,Cassiopeia,2
Anivia,Annie,Orianna,Kayle,Evelynn,Nidalee,Amumu,Corki,Cho'Gath,Fiora,2
Diana,Soraka,Thresh,Karthus,Shaco,Ashe,Nidalee,Poppy,Irelia,Brand,1
Gragas,Elise,Heimerdinger,Lux,Olaf,Sion,Skarner,Renekton,Darius,Amumu,2
Sion,Udyr,Draven,Elise,Shaco,Alistar,Akali,Darius,Kennen,Orianna,1
Thresh,Sona,Alistar,Ashe,Fizz,Irelia,Nocturne,Fiddlesticks,Lee,Shaco,1
Karthus,Diana,Lee,Garen,Trundle,Shaco,Evelynn,Shyvana,Miss,Katarina,1
Corki,Brand,Tristana,Maokai,Teemo,Lux,Orianna,Malphite,Rumble,Fizz,1
LeBlanc,Mordekaiser,Brand,Galio,Viktor,Singed,Fiddlesticks,Taric,Soraka,Twisted,2
Skarner,Blitzcrank,Jarvan,Sejuani,Malphite,Taric,Dr.Mundo,Fiora,Leona,Nocturne,2
Soraka,Ezreal,Singed,Fiora,Shen,Morgana,Kayle,Nami,Nasus,Vi,2
Thresh,Vi,Ryze,Trundle,Fiora,Vayne,Rammus,Teemo,Twisted,Skarner,1
Heimerdinger,Trundle,Fiora,Ryze,Leona,Kayle,Janna,Ashe,Riven,Kha'Zix,2
Jarvan,Blitzcrank,Twisted,Trundle,Caitlyn,Cho'Gath,Karthus,Kha'Zix,Graves,Teemo,2
Riven,Maokai,Malphite,Anivia,Amumu,Poppy,Syndra,Orianna,Hecarim,Mordekaiser,2
Amumu,Olaf,Shen,Sivir,Shyvana,Maokai,Morgana,Swain,Anivia,Fiora,1
Vi,Jayce,Thresh,Corki,Twitch,Cho'Gath,Vayne,Darius,Jax,Kha'Zix,1
Brand,Katarina,Irelia,Diana,Twitch,Rumble,Twisted,Dr.Mundo,Miss,Skarner,1
Varus,Nocturne,Veigar,Taric,Sion,Rammus,Brand,Riven,Alistar,Caitlyn,2
Janna,Akali,Varus,Diana,Fiddlesticks,Jax,Amumu,Brand,Rengar,Mordekaiser,2
Soraka,Talon,Olaf,Elise,Mordekaiser,Galio,Graves,Fiora,Teemo,Lux,2
Twitch,Blitzcrank,Nasus,Orianna,Nautilus,Rengar,Taric,Jarvan,Corki,Elise,1
Caitlyn,Swain,Twitch,Elise,Darius,Galio,Fizz,Shyvana,Sivir,Fiora,2
Anivia,Katarina,Fiddlesticks,Lee,Karma,Corki,Trundle,Tryndamere,Kayle,Twitch,2
Corki,Amumu,Nami,Mordekaiser,Ezreal,Sona,Tryndamere,Morgana,Caitlyn,Teemo,1
Darius,Diana,Mordekaiser,Kha'Zix,Tristana,Ryze,Twitch,Twisted,Ashe,Soraka,2
Alistar,Galio,Maokai,Taric,Evelynn,Corki,Draven,Diana,Janna,LeBlanc,1
Shyvana,Taric,Jarvan,Twisted,Draven,Trundle,Mordekaiser,Garen,Master,Kha'Zix,2
Sivir,Olaf,Diana,Kennen,Kayle,Hecarim,Rumble,Fiora,Singed,Vi,2
Jarvan,Alistar,Lulu,Master,Nautilus,Corki,Shyvana,Hecarim,Rammus,Rumble,2
Thresh,Brand,Morgana,Shyvana,Nautilus,Corki,Fiora,Mordekaiser,Diana,Master,2
Fiora,Mordekaiser,Sion,Malzahar,Poppy,Alistar,Riven,Cassiopeia,Diana,Vi,1
Mordekaiser,Fiddlesticks,Shyvana,Draven,Galio,Blitzcrank,Taric,Shaco,Kayle,Morgana,2
